time,value
2025-02-27T08:15:31.255290129Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:32.24280722Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:33.226231288Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:34.238930633Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:35.2350839Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:36.238181729Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:37.244563348Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:38.239627612Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:39.245017727Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:40.252974105Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:41.242463879Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:42.264326812Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:43.256269737Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:44.24638681Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:45.269175043Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:46.266429444Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:47.270687697Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:48.272957135Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:49.262965448Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:50.268687741Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:51.312198674Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:52.254890384Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:53.248953066Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:54.255522078Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:55.275261624Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:56.262628249Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:57.262091981Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:58.316084977Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:15:59.272757435Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:00.426850197Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:01.397288783Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:02.36618085Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:03.330893484Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:04.335140875Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:05.338553031Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:06.289337971Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:07.248314213Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:08.291210261Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:09.250367063Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:10.266481223Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:11.264860114Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:12.294999332Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:13.252247398Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:14.260730572Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:15.273586355Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:16.249657682Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:17.256541587Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:18.256336577Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:19.256582629Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:20.338114347Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:21.262695916Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:22.266762614Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:23.258898727Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:24.254409893Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:25.263474299Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:26.268642337Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:27.254016373Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:28.251497189Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:29.252959522Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:30.268486224Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:31.264449366Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:32.274396503Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:33.255157039Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:34.262988757Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:35.270714037Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:36.264493885Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:37.316988751Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:38.258472098Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:39.338733784Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:40.264799057Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:41.263870661Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:42.273674981Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:43.285936228Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:44.269393741Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:45.274694252Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:46.2778124Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:47.28086435Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:48.307045807Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:49.29668025Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:50.290609642Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:51.282672213Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:52.303236791Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:53.289508441Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:54.287112561Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:16:56.522409732Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:00.321574894Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:24.059520031Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:25.049936415Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:26.048833581Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:27.055173558Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:28.04119415Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:29.158231809Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:30.107147251Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:31.166985019Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:32.10359342Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:33.130131423Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:34.154637061Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:35.13875513Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:36.080154584Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:37.07486875Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:38.059136979Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:18:39.022243072Z,"{""lat"":11.1069203,""lon"":106.6148418}"
