time,value
2025-03-09T02:47:54.441627217Z,"{""lat"":10.7982634,""lon"":106.6678408}"
2025-03-09T02:47:55.439400692Z,"{""lat"":10.7982634,""lon"":106.6678408}"
2025-03-09T02:47:56.485319664Z,"{""lat"":10.7982634,""lon"":106.6678408}"
2025-03-09T02:47:57.459348903Z,"{""lat"":10.7982634,""lon"":106.6678408}"
2025-03-09T02:47:58.439350643Z,"{""lat"":10.7982634,""lon"":106.6678408}"
2025-03-09T02:47:59.459398439Z,"{""lat"":10.7982634,""lon"":106.6678408}"
2025-03-09T02:48:00.449386925Z,"{""lat"":10.7982456,""lon"":106.6678976}"
2025-03-09T02:48:01.470033127Z,"{""lat"":10.7982456,""lon"":106.6678976}"
2025-03-09T02:48:02.419443565Z,"{""lat"":10.7982456,""lon"":106.6678976}"
2025-03-09T02:48:03.459471974Z,"{""lat"":10.7982456,""lon"":106.6678976}"
2025-03-09T02:48:04.459304398Z,"{""lat"":10.7982456,""lon"":106.6678976}"
2025-03-09T02:48:05.4893012Z,"{""lat"":10.7982456,""lon"":106.6678976}"
2025-03-09T02:48:06.469543532Z,"{""lat"":10.7982456,""lon"":106.6678976}"
2025-03-09T02:48:07.479270741Z,"{""lat"":10.7982456,""lon"":106.6678976}"
2025-03-09T02:48:08.479537685Z,"{""lat"":10.7982456,""lon"":106.6678976}"
2025-03-09T02:48:09.479317199Z,"{""lat"":10.7982456,""lon"":106.6678976}"
2025-03-09T02:48:10.469344266Z,"{""lat"":10.7981825,""lon"":106.667986}"
2025-03-09T02:48:11.477631263Z,"{""lat"":10.7981825,""lon"":106.667986}"
2025-03-09T02:48:12.559601435Z,"{""lat"":10.7981825,""lon"":106.667986}"
2025-03-09T02:48:13.457312026Z,"{""lat"":10.7981825,""lon"":106.667986}"
2025-03-09T02:48:14.509491969Z,"{""lat"":10.7981825,""lon"":106.667986}"
2025-03-09T02:48:15.529559477Z,"{""lat"":10.7981825,""lon"":106.667986}"
2025-03-09T02:48:16.499467444Z,"{""lat"":10.7981825,""lon"":106.667986}"
2025-03-09T02:48:17.443495293Z,"{""lat"":10.7981825,""lon"":106.667986}"
2025-03-09T02:48:18.451106644Z,"{""lat"":10.7981825,""lon"":106.667986}"
2025-03-09T02:48:19.462953229Z,"{""lat"":10.7981825,""lon"":106.667986}"
2025-03-09T02:48:20.450008834Z,"{""lat"":10.7982001,""lon"":106.6684025}"
2025-03-09T02:48:21.410053417Z,"{""lat"":10.7982001,""lon"":106.6684025}"
2025-03-09T02:48:22.415924086Z,"{""lat"":10.7982001,""lon"":106.6684025}"
2025-03-09T02:48:23.465884244Z,"{""lat"":10.7982001,""lon"":106.6684025}"
2025-03-09T02:48:24.455022014Z,"{""lat"":10.7982001,""lon"":106.6684025}"
2025-03-09T02:48:25.46621105Z,"{""lat"":10.7982001,""lon"":106.6684025}"
2025-03-09T02:48:26.4651129Z,"{""lat"":10.7982001,""lon"":106.6684025}"
2025-03-09T02:48:27.453290636Z,"{""lat"":10.7982001,""lon"":106.6684025}"
2025-03-09T02:48:28.456147134Z,"{""lat"":10.7982001,""lon"":106.6684025}"
2025-03-09T02:48:29.452711775Z,"{""lat"":10.7982001,""lon"":106.6684025}"
2025-03-09T02:48:30.482354705Z,"{""lat"":10.7981692,""lon"":106.6690264}"
2025-03-09T02:48:31.462270198Z,"{""lat"":10.7981692,""lon"":106.6690264}"
2025-03-09T02:48:32.41033102Z,"{""lat"":10.7981692,""lon"":106.6690264}"
2025-03-09T02:48:33.500595104Z,"{""lat"":10.7981692,""lon"":106.6690264}"
2025-03-09T02:48:34.52106011Z,"{""lat"":10.7981692,""lon"":106.6690264}"
2025-03-09T02:48:35.462112288Z,"{""lat"":10.7981692,""lon"":106.6690264}"
2025-03-09T02:48:36.490288591Z,"{""lat"":10.7981692,""lon"":106.6690264}"
2025-03-09T02:48:37.482388455Z,"{""lat"":10.7981692,""lon"":106.6690264}"
2025-03-09T02:48:38.462269372Z,"{""lat"":10.7981692,""lon"":106.6690264}"
2025-03-09T02:48:39.462389381Z,"{""lat"":10.7981692,""lon"":106.6690264}"
2025-03-09T02:48:40.492668069Z,"{""lat"":10.7980721,""lon"":106.6695177}"
2025-03-09T02:48:41.492606572Z,"{""lat"":10.7980721,""lon"":106.6695177}"
2025-03-09T02:48:42.409347932Z,"{""lat"":10.7980721,""lon"":106.6695177}"
2025-03-09T02:48:43.503507077Z,"{""lat"":10.7980721,""lon"":106.6695177}"
2025-03-09T02:48:44.520699701Z,"{""lat"":10.7980721,""lon"":106.6695177}"
2025-03-09T02:48:45.49241327Z,"{""lat"":10.7980721,""lon"":106.6695177}"
2025-03-09T02:48:46.500232442Z,"{""lat"":10.7980721,""lon"":106.6695177}"
2025-03-09T02:48:47.492439525Z,"{""lat"":10.7980721,""lon"":106.6695177}"
2025-03-09T02:48:48.502186119Z,"{""lat"":10.7980721,""lon"":106.6695177}"
2025-03-09T02:48:49.49533074Z,"{""lat"":10.7980721,""lon"":106.6695177}"
2025-03-09T02:48:50.510368025Z,"{""lat"":10.7980484,""lon"":106.6700773}"
2025-03-09T02:48:51.569305292Z,"{""lat"":10.7980484,""lon"":106.6700773}"
2025-03-09T02:48:52.578445685Z,"{""lat"":10.7980484,""lon"":106.6700773}"
2025-03-09T02:48:53.50940998Z,"{""lat"":10.7980484,""lon"":106.6700773}"
2025-03-09T02:48:54.479290216Z,"{""lat"":10.7980484,""lon"":106.6700773}"
2025-03-09T02:48:55.499613136Z,"{""lat"":10.7980484,""lon"":106.6700773}"
2025-03-09T02:48:56.497413563Z,"{""lat"":10.7980484,""lon"":106.6700773}"
2025-03-09T02:48:57.490664523Z,"{""lat"":10.7980484,""lon"":106.6700773}"
2025-03-09T02:48:58.500544061Z,"{""lat"":10.7980484,""lon"":106.6700773}"
2025-03-09T02:48:59.52063621Z,"{""lat"":10.7980484,""lon"":106.6700773}"
2025-03-09T02:49:00.518393912Z,"{""lat"":10.7980091,""lon"":106.6706068}"
2025-03-09T02:49:01.510440174Z,"{""lat"":10.7980091,""lon"":106.6706068}"
2025-03-09T02:49:02.458533342Z,"{""lat"":10.7980091,""lon"":106.6706068}"
2025-03-09T02:49:03.520837293Z,"{""lat"":10.7980091,""lon"":106.6706068}"
2025-03-09T02:49:04.52150449Z,"{""lat"":10.7980091,""lon"":106.6706068}"
2025-03-09T02:49:05.500428542Z,"{""lat"":10.7980091,""lon"":106.6706068}"
2025-03-09T02:49:06.500459068Z,"{""lat"":10.7980091,""lon"":106.6706068}"
2025-03-09T02:49:07.520503261Z,"{""lat"":10.7980091,""lon"":106.6706068}"
2025-03-09T02:49:08.510353341Z,"{""lat"":10.7980091,""lon"":106.6706068}"
2025-03-09T02:49:09.51856003Z,"{""lat"":10.7980091,""lon"":106.6706068}"
2025-03-09T02:49:10.582610175Z,"{""lat"":10.7979141,""lon"":106.6711323}"
2025-03-09T02:49:11.568623683Z,"{""lat"":10.7979141,""lon"":106.6711323}"
2025-03-09T02:49:12.438565708Z,"{""lat"":10.7979141,""lon"":106.6711323}"
2025-03-09T02:49:13.510459686Z,"{""lat"":10.7979141,""lon"":106.6711323}"
2025-03-09T02:49:14.509532037Z,"{""lat"":10.7979141,""lon"":106.6711323}"
2025-03-09T02:49:15.541323946Z,"{""lat"":10.7979141,""lon"":106.6711323}"
2025-03-09T02:49:16.540967279Z,"{""lat"":10.7979141,""lon"":106.6711323}"
2025-03-09T02:49:17.550372841Z,"{""lat"":10.7979141,""lon"":106.6711323}"
2025-03-09T02:49:18.521771083Z,"{""lat"":10.7979141,""lon"":106.6711323}"
2025-03-09T02:49:19.521801938Z,"{""lat"":10.7979141,""lon"":106.6711323}"
2025-03-09T02:49:20.558280822Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:21.483929741Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:22.544015993Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:23.561396126Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:24.550349514Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:25.560293981Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:26.551748038Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:27.540795524Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:28.550529367Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:29.572513053Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:30.506367328Z,"{""lat"":10.7980577,""lon"":106.6714989}"
2025-03-09T02:49:31.560529257Z,"{""lat"":10.797443,""lon"":106.6722644}"
